Delay X Y X Y
-2667000 0 0 1.5259E-5 0.00014496
-2647000 0 0 -2.2888E-5 0.0001297
-2627000 0 0 -7.6295E-6 0.00014496
-2607000.1 0 0 4.5777E-5 0.00011444
-2587000.1 0 0 1.5259E-5 0.00012207
-2567000.1 0 0 0 9.1553E-5
-2547000.2 0 0 -5.3406E-5 9.9183E-5
-2527000.2 0 0 -4.5777E-5 9.9183E-5
-2507000.2 0 0 1.5259E-5 0.00014496
-2487000.3 0 0 2.2888E-5 9.9183E-5
-2467000.3 0 0 2.2888E-5 8.3924E-5
-2447000.3 0 0 2.2888E-5 0.00010681
-2427000.3 0 0 0 0.00012207
-2407000.4 0 0 7.6295E-6 9.9183E-5
-2387000.4 0 0 3.8147E-5 9.9183E-5
-2367000.4 0 0 7.6295E-6 6.8665E-5
-2347000.5 0 0 3.0518E-5 8.3924E-5
-2327000.5 0 0 0 9.9183E-5
-2307000.5 0 0 3.8147E-5 8.3924E-5
-2287000.6 0 0 1.5259E-5 7.6294E-5
-2267000.6 0 0 7.6295E-6 9.9183E-5
-2247000.6 0 0 5.3406E-5 0.00013733
-2227000.7 0 0 4.5777E-5 9.1553E-5
-2207000.7 0 0 2.2888E-5 9.1553E-5
-2187000.7 0 0 3.8147E-5 0.00012207
-2167000.7 0 0 5.3406E-5 0.00011444
-2147000.8 0 0 6.1036E-5 0.00014496
-2127000.8 0 0 5.3406E-5 0.00014496
-2107000.8 0 0 4.5777E-5 9.9183E-5
-2087000.9 0 0 4.5777E-5 6.1036E-5
-2067000.9 0 0 2.2888E-5 6.1036E-5
-2047000.9 0 0 1.5259E-5 9.9183E-5
-2027001 0 0 4.5777E-5 0.0001297
-2007001 0 0 0 0.00011444
-1987001 0 0 0 0.0001297
-1967001.1 0 0 -7.6295E-6 0.00013733
-1947001.1 0 0 1.5259E-5 0.00012207
-1927001.1 0 0 4.5777E-5 0.00013733
-1907001.1 0 0 4.5777E-5 0.00016785
-1887001.2 0 0 4.5777E-5 0.00012207
-1867001.2 0 0 3.0518E-5 9.1553E-5
-1847001.2 0 0 6.1036E-5 9.1553E-5
-1827001.3 0 0 9.1553E-5 8.3924E-5
-1807001.3 0 0 9.1553E-5 8.3924E-5
-1787001.3 0 0 4.5777E-5 7.6294E-5
-1767001.4 0 0 3.8147E-5 4.5777E-5
-1747001.4 0 0 5.3406E-5 9.9183E-5
-1727001.4 0 0 6.1036E-5 0.00013733
-1707001.4 0 0 4.5777E-5 0.00010681
-1687001.5 0 0 4.5777E-5 0.00011444
-1667001.5 0 0 0 0.00010681
-1647001.5 0 0 -1.5259E-5 0.00010681
-1627001.6 0 0 1.5259E-5 9.1553E-5
-1607001.6 0 0 1.5259E-5 4.5777E-5
-1587001.6 0 0 0 7.6294E-5
-1567001.7 0 0 0 0.00010681
-1547001.7 0 0 0 0.0001297
-1527001.7 0 0 -1.5259E-5 0.00016022
-1507001.8 0 0 7.6295E-6 0.00011444
-1487001.8 0 0 1.5259E-5 9.9183E-5
-1467001.8 0 0 2.2888E-5 5.3406E-5
-1447001.8 0 0 2.2888E-5 6.1036E-5
-1427001.9 0 0 2.2888E-5 9.9183E-5
-1407001.9 0 0 7.6295E-6 6.8665E-5
-1387001.9 0 0 3.0518E-5 9.9183E-5
-1367002 0 0 6.8665E-5 8.3924E-5
-1347002 0 0 4.5777E-5 8.3924E-5
-1327002 0 0 0 8.3924E-5
-1307002.1 0 0 3.8147E-5 9.1553E-5
-1287002.1 0 0 5.3406E-5 9.9183E-5
-1267002.1 0 0 4.5777E-5 0.00011444
-1247002.2 0 0 5.3406E-5 9.9183E-5
-1227002.2 0 0 5.3406E-5 0.00015259
-1207002.2 0 0 6.1036E-5 0.00015259
-1187002.2 0 0 6.8665E-5 7.6294E-5
-1167002.3 0 0 7.6294E-5 4.5777E-5
-1147002.3 0 0 7.6294E-5 8.3924E-5
-1127002.3 0 0 4.5777E-5 9.9183E-5
-1107002.4 0 0 2.2888E-5 7.6294E-5
-1087002.4 0 0 2.2888E-5 8.3924E-5
-1067002.4 0 0 -7.6295E-6 9.9183E-5
-1047002.5 0 0 -2.2888E-5 7.6294E-5
-1027002.5 0 0 -7.6295E-6 9.9183E-5
-1007002.5 0 0 0 0.00010681
-987002.55 0 0 3.0518E-5 8.3924E-5
-967002.58 0 0 3.8147E-5 0.00015259
-947002.61 0 0 5.3406E-5 0.00018311
-927002.64 0 0 5.3406E-5 0.00016785
-907002.67 0 0 4.5777E-5 0.00013733
-887002.7 0 0 -1.5259E-5 0.0001297
-867002.73 0 0 0 0.00015259
-847002.76 0 0 3.8147E-5 0.00015259
-827002.79 0 0 3.0518E-5 0.00014496
-807002.82 0 0 3.8147E-5 0.00013733
-787002.85 0 0 5.3406E-5 0.0001297
-767002.88 0 0 4.5777E-5 0.0001297
-747002.91 0 0 5.3406E-5 0.000206
